gamedev,dev,godot,expectations,struggles,topics,tutorial_disliked,tutorial_liked,improve,assignments,comments
hobbyist,professional,personal projects,,,Game feel;Level design;Project organization;Artificial intelligence,,,Written versions of the tutorials,Yes,Thank you for your hard work!
hobbyist,professional,never used,A good plan to make the code without having to refactor as the size increase.  Hope to not find myself in a mess of a project because I did'nt know how to organize it at the start.,Having the time to do it.,Code structure;Project organization,,,,No,
hobbyist,professional,never used,"Godot, as well as best practice and design fundamentals",Prioritising the learning over my other goals!,Game feel;Level design;Code structure;Audio;Project organization;Maths for game programming,,,,Yes,
professional,professional,personal projects,,,Game feel;Level design;Project organization;Custom resources and editor plugins for dealing with them ,,,,No,
hobbyist,professional,never used,"A bootstrap from ""I don't know this tool / ecosystem / UI and I don't know where to begin"" to ""I'm comfortable starting a little professional project""",,,I haven't looked at GDquest.,,,,
professional,professional,finished game,"Effective use of parallax for pseudo depth, a la Steamworld Dig 2. Ideally, this would cover procedurally generated levels, some of which are infinite (imagine a 2d endless runner platformer or something similar). ",Management of standard and hi-dpi assets when moving back and forth between a standard and hi-dpi monitor. I also think management of a central message bus object for routing signals would better organize my workflow. I would love to be able to ship with an embedded SQLite database. Integration of Firebase/AdMob SDKs for cross-platform mobile games. Workflow for development of a game with both desktop and mobile versions. Where/how best to contain code specific to a certain platform. ,Platforming;Code structure;Project organization;Procedural level generation,"I enjoy them all, but sometime you talk/move too fast. It’s ok to slow down and have some pauses, review sections, etc. ",I enjoyed the tutorial about UI containers because it looked specifically at a useful feature and felt like an extension of the Godot docs. ,Host a Discourse forum where viewers can gather to discuss the videos and related work. The Godot community is very fragmented across many comms tools. ,No,Thank you for your work for the community!
hobbyist,small programs,personal projects,"Hopefully, ways to use composition to create better ai with less repeating code.","repeating code, especially in state machines, using simple composition to create complex ai.",Code structure;Combat;Artificial intelligence;Maths for game programming,"""Tips to navigate web pages efficiently with the keyboard"" I don't want to memorize shortcuts to do simple things. It just adds complexity most of the time.","""Model in Godot 3.1 with CSG: Constructive Solid Geometry"" Making a quick 3d mockup without having to worry about 3d modeling is great. I hope the 3d course will limit the use of outside models in favor of using godot's tools.",stronger focus on ai and 3d,No,More Ai and 3d
professional,professional,finished game,"Some random interesting tricks, even if small","Finding professionals, especially for graphical art","Code structure;Artificial intelligence;alternative development methods such as C++, and Gdscript optimization",,"The tileset one, mainly because I was unable to understand that UI on intuition alone, and not even with the documentation of that time",,Maybe,Keep up the good work
student,small programs,foundations,,,Visual effects;Audio;Combat;Project organization;Team work;Artificial intelligence,,,,,
hobbyist,professional,foundations,"To be able to finish complete 2D game project using common Godot development practices for the design of all scenes hierarchy. In addition, to minimize having to look up on how to implement basic functions in Godot for a standard 2D game such as camera movement, 2d simple effects.
 ","My main struggle is to connect several parts of the game together such as main menu, pause menu, high scores leaderboard without having bugs.",Visual effects;Level design;Code structure,,,"I like to do complete small game projects for different type of games, which covers the most basic functionality in Godot. I think it will be good value for learners.",Maybe,"Have you considered doing written tutorials? I like  written more, but video is fine :)
Thank you
"
hobbyist,professional,personal projects,"I'm mainly hoping to learn best practices when it comes to godot. Structuring, code re-use and just generally making refactoring easier. Ideally I would also really like to see a complete game, no matter how simple, that covers everything needed (layout, loading levels, pausing, save game, maybe even multi-player) beyond covering what nodes are available and how they work. Getting a real sense of how the various godot features come together to make a game, rather than looking at isolated parts, which makes it feel more abstract.","Besides finding the motivation to actually finish a project, the two main things I struggle with are dealing with multi-resolution and the GUI. I find the UI nodes in godot very finicky and I have a lot of trouble creating the most basic interfaces. And for mult-resolution, I always struggle with what resolution to design assets, how to get them to fit in a safe area, maintain ratio and still look good, especially font. Oh, and state management can be a pain.",Game feel;Platforming;Level design;Code structure;Project organization;Artificial intelligence,"I haven't watched all of the available GDquest videos, but from what I've seen I can't think of any I didn't like. In general the issues I have with tutorial videos are 1) low resolution where text is hard to read 2) jumping around too quickly, making it difficult to follow along 3) skipping important steps that are needed to get from point A to point C, making assumptions that viewers will already know how/where to do that.","From the ones I can remember offhand, I enjoyed them all equally. I appreciate it when a video is focused on one particular topic, making it easy to digest and go back to.",Maybe working off of a single game for an entire series. Revisiting earlier projects to add more advanced features rather than starting from scratch.,No,Thanks for everything you do for the community. It's very appreciated.
hobbyist,foundations,I learned some foundations,,,Game feel;Visual effects;Platforming;Level design;Code structure;Combat;Project organization;Maths for game programming,,,,Yes,
hobbyist,professional,never used,How to make a game.,Basically all of it. ,Game feel;Visual effects;Platforming;Level design;Audio;Combat;Project organization;Maths for game programming,,,,Yes,
hobbyist,completed games,foundations,Solid foundation on creating a complete game with knowledge to extend it.,AI and path finding.,Code structure;Combat;Artificial intelligence,n/a,n/a,n/a,Yes,
hobbyist,foundations,I learned some foundations,"Strong fundamentals on creating a platformer (collisions, smooth and responsive controls, enemy AI, collectibles/items the player can collect and use, hopefully shader usage) ","State machines, implementing intermediate/complex mechanics (attacking, shader usage, etc) and learning/implementing intermediate and higher programming concepts.",Game feel;Visual effects;Platforming;Level design;Code structure;Audio;Combat;Project organization;Team work;Artificial intelligence;Maths for game programming,"The water shader tutorial - not that I didn't like it, but what I would really like would be a shader tutorial that can show me how to manipulate or change colors of a sprite dynamically (think Mario in classic Super Mario Bros when he picks up an invincibility star or Mega Man when he switches weapons.)","I really like the RPG series - very informative and in-depth, very helpful as I want to develop an RPG in the future! ","I am very happy with the tutorial quality as it is. If anything, please continue to explain and break down the concepts and projects explained as simply as possible.",Yes,"I am very happy that I stumbled upon you and Godot. Thank you for your work and dedication! If possible, please do something in the future to cover using shaders to alter the color of sprites dynamically - similar to classic arcade games and Nintendo games. This is one of the things I want to implement in my games. Thanks again!"
hobbyist,small programs,never used,"I would like to learn the basics of Godot, especially how to structure a game and layout in Godot.",Follow-through.,Game feel;Project organization,,,,Yes,
professional,foundations,I learned some foundations,"I would like to learn different ways to create different game systems like skill trees, experience, shops/inventory, dialogue, saving player data, loading and how they work in conjunction. ","I am comfortable reading most code and following your tutorials, what I struggle with is following a design target I have set and planned out for myself that differs greatly from your tutorials that also have all the features talking to one another nicely and in an organized way.. ",Game feel;Code structure;Combat;Artificial intelligence;Maths for game programming;Multiplayer/network,N/A,My favourite tutorial must be the the videos you made for the pushdown automata FSM.  Reason why I liked it was because it helped me understand powerful concepts like defensive programming and working in a very clean and organized way.,"showing how the things we are learning tie in to an actual game. How would it tie in different for different types of games? (Small games, medium, large, different genres) ",Yes,
hobbyist,small programs,personal projects,To be able to complete at least a good demo using the right tools and best practices.,"Time management, project organization and scope. Basically lack of knowledge of a game development cycle.",Game feel;Visual effects;Platforming;Level design;Code structure;Audio;Combat;Project organization;Team work;Artificial intelligence;Maths for game programming,"https://www.youtube.com/watch?v=USIbT81VFVg  
I don't dislike it but I don't like it either, from all the tutorials I've seen I think this is the one I like less. I think is too long and little practical. When I learn something new I like to see examples in action instead of the instructor explaining deeply what does the code do.","https://www.youtube.com/watch?v=AobjNjzZhmo 
Short and practical. I think it was a good start to let me explore the rest by my own.

https://www.youtube.com/watch?v=FD5999mgbSo
All the 4 videos in the 3d first person series. It was a very practical tutorial and I learned a lot by doing it. I liked it too because I could modify and add more stuffs to the final game.","I think making tutorials with real examples (which I think most of them are), and if is explaining tools or a long script (something more ""theoretical""), to make them short to use them as references.",Yes,It would be a great idea to put assignments and create a channel in the private discord server so we students could share our work and provide feedback to each other. Maybe letting a game sort of incomplete after each chapter so we as students figure out how to complete the rest and the instructor share's his/her solution later on(?).
hobbyist,professional,foundations,,,Game feel;Visual effects;Level design;Maths for game programming,,,,Maybe,
hobbyist,I have no experience,never used,Make a couple levels,Never tried,Platforming;Level design;Combat;Team work,Haven't been on the channel,Haven't been on the channel,,Yes,
hobbyist,professional,foundations,Have solid understanding of the foundation of Godot's workings. Have enough experience to help myself further in discovering all features of Godot.,My unfamiliarity with game design patterns,Game feel;Visual effects;Code structure;Project organization;Artificial intelligence;Maths for game programming,N/A,N/A,N/A,Yes,You're doing a great job! Thanks for asking for feedback!
student,I have no experience,foundations,"Step by step walk through, but with explanations WHY, and also where else things can apply (what other uses each piece of code or API call has, for example)",Understanding the API and programming; applying the stuff learned in the tutorials to new games,Platforming;Code structure;Project organization;Artificial intelligence;Maths for game programming,,,,Yes,Assignments! 
hobbyist,foundations,personal projects,"I expect to learn more about godot and the algorithms used in game creation. I think, but maybe I'm wrong, that some things I learn in this course can be reuse in another game engine, like Unity or UE.","The algorithms, the patterns used in game creation.",Visual effects;Platforming;Level design;Code structure;Audio;Combat;Artificial intelligence;Maths for game programming,,,,Yes,
hobbyist,small programs,personal projects,Godot workflows for 2D and 3D projects,Updates /changes to gd script from v2.,Game feel;Platforming;Code structure;Project organization;Maths for game programming;Workflow from ideation through planning and design through production and delivery of a project,,,Subtitles and challenges with worked answers available,Yes,Keep up the great work guys! Really looking forward to the course.
hobbyist,professional,never used,,,Game feel;Code structure;Project organization;Maths for game programming,,,,Yes,
hobbyist,small programs,personal projects,Some common techniques and best practices for developing a videogame.,Math. I have been learning it for a while but still have big gaps in knowledge.,Game feel;Level design;Code structure;Project organization;Maths for game programming;Introduction to 3D.,I haven't watched all however I don't think that any of those I have watched are bad. I am inexperienced so almost everything is a new valuable information to me.,I like your channel because you make nice visual examples of the code you're demonstrating. Like in the old platformer tutorial where you show how the collisions work. It helps a lot and I would like to see more of these.,"Sometimes I was more interested in the topic but the video didn't go in depth enough. Would be nice to have optional in depth sections or links to some external sites (if you're not doing it already, honesty I don't remember right now).",Yes,
hobbyist,small programs,foundations,,Finishing/Making the complete project,Platforming;Level design;Code structure,,,,Yes,
hobbyist,small programs,personal projects,Some methods to improve my game development skills,Not enough guides(example: login to web hosting or background loading assets).,Visual effects;Level design;Artificial intelligence;Maths for game programming,I don't like the tutorials that require to start from an existing project.,I like the tutorials that explain nodes step by step without templates.,By including pdf versions,No,I would love if you had videos that create full games (example: a real time strategy and an adventure game).
hobbyist,professional,foundations,,,Game feel;Code structure,,,,Yes,
hobbyist,small programs,foundations,How to create nice 3D games,Animation character and collision when character hits,Game feel;Visual effects;Platforming;Level design;Code structure;Audio;Combat;Project organization;Team work;Artificial intelligence;Maths for game programming,"Hard to say, i like many videos...","Hard to say, i like many videos...","I think you can add sections for 3d animation, and character control.",Yes,I hope for you guys!
professional,professional,never used,Professional game development techniques.,"Visual effects, AI",Game feel;Visual effects;Platforming;Level design;Code structure;Combat;Artificial intelligence;Maths for game programming,,,,Yes,
hobbyist,professional,foundations,The foundations for making complete 2/3d games in Godot,"Completing a project. I think this is because I get so far and then hit roadblocks, usually because I can't find a solution technically. ",Game feel;Visual effects;Code structure;Project organization;Animation,,,,Yes,Looking forward to the courses 😁
hobbyist,small programs,finished game,How to manage a full project. Good programming habits and learn new thungs especially on the 3D side.,Keep a clean code well organized and reusable.,Game feel;Visual effects;Level design;Code structure;Audio;Combat;Project organization;Team work;Artificial intelligence;Maths for game programming;3d,Sometimes you use some complex/advanced pattern or logic that I don't get. The problem is that I'm a self teacher programmer and I don't have some basics in mind...,,,Yes,I really want to learn 3D stuff because it's undocumented by the Godot collunity and I hope you could do something ! Tanks a lot for all your tutorials ;)
hobbyist,I have no experience,never used,I expect to be able to create games,no knowledge,Game feel;Visual effects;Platforming;Level design;Code structure;Audio;Combat;Project organization;Team work;Maths for game programming,,,,Yes,
hobbyist,small programs,foundations,Solid techniques ,Sound and music,Platforming;Level design;Project organization;Artificial intelligence;Maths for game programming,I don’t like those with a not fluid spoken english- as a non speaking user and not so good english speaker it‘s harder to follow. ,Mostly the Videos from Nathan,-,Maybe,What is with assignements meant? I don’t understand the question above 
hobbyist,small programs,foundations,,,Platforming;Level design;Combat;Artificial intelligence,,,,Yes,
hobbyist,completed games,foundations,"I want to learn how to deal with collisions in Godot, how to handle different device resolutions and how to create views. I want to know how to create HUDs, menus, dialogs containing entry fields, sliders, radio groups and checkboxes (the typical Options or settings dialog).
I want to learn good patterns for combining Nodes to Scenes to create the required complex game elements. For the platform game itself I want to learn how to create moving platforms, jumpthrough/fallthrough platforms. I'm interested in parallax scrolling and some light system.
Also important is how to create some ""sexy"" looking movement system where jumping is fast and not in a slow boring arc movement (Read Super Meat Boy vs. old Mario games).
State machines are also an issue for the player if he is going to attack monsters.
And then different weapons, like sword, whip, bow and arrows. How to handle their movement (swinging sword or long whip, shooting arrows) and good looking hits.
Another area is dealing with different input devices (touch screen, keyboard and mouse, controller).
Finally I would love to learn all requirements to deploy the game to Windows, Android and Web.
Things like online high scores would be the cherry on the ice ;-)","Code wise: Only to learn the API and scripting language of the new system (like Godot) and finding ""best practices"" how to do something in the specific system.
I do struggle with graphics. Here I mostly rely on others. I buy graphics or team up with an artist.
Also I have little knowledge about particle systems and shaders.",Game feel;Visual effects;Platforming;Code structure;Project organization;Artificial intelligence,,,"Maybe add notes to the videos to describe the important highlights/parts of the video. Or add links to the Godot documentation.
For example: if you use yield() in a script a link to the Godot documentation would make sense as yield() is a pretty complex behavior for your code.
This way I wouldn't necessarily have to watch the video again if I'm looking for some advice how to do something with Godot.",No,"I really like your YouTube tutorial channel. You deal with a lot of good game related issues. Sometimes I would love to have those as written blog entries or (gasp) a book. But maybe that's just me preferring to read than to listen/watch some video. But maybe that is an idea for you to present your knowledge in another way ?

Cheers from Germany and thanks for all your great work to help game developers learn Godot,
Thomas"
hobbyist,small programs,personal projects,New techniques,the Finite-state machine,Game feel;Code structure;Project organization;Team work,,,,Yes,
student,small programs,personal projects,,,Game feel;Visual effects;Code structure;Artificial intelligence;Maths for game programming,,,,Yes,
hobbyist,professional,foundations,Gain some fluency with 2D and 3D,Interesting game design,Game feel;Code structure;Project organization,I like them all,"I like all the tutorials with practical examples, even if they are very small. ","I would be great if there was a webpage with categorized links to all the individual tutorials, so I could easly find what I need without the need to browse through the youtube channel.",Yes,"What your are doing is really great, so please keep it up :)"
hobbyist,professional,foundations,From basics to full project,Project from start to finish,Game feel;Visual effects;Code structure;Project organization,Any where the teacher speaks way too fast.,Any where we have a neat structure and that is easily followed with a decent speech speed,Generic parts that can be put to use in a lot of situations,Yes,
hobbyist,I have no experience,foundations,,,Game feel;Platforming;Combat,,,,Maybe,
professional,professional,foundations,Learn Godot,,Game feel;Code structure;Project organization;Artificial intelligence,,,,Yes,
hobbyist,professional,finished game,"best practices, practical solutions to common problems, juicing techniques, complex ui practices","knowing when to not reinvent the wheel, when something is available and would suit my case",Game feel;Visual effects;Code structure;Artificial intelligence;Maths for game programming,,,have the tutorials in text form as well,Maybe,
hobbyist,professional,personal projects,Best practices and useful techniques that I can apply to my hobby projects. ,"Game art, best practices and not reinventing the wheel. ",Visual effects;Level design;Code structure;Project organization;Maths for game programming,,"I like all the tilemap tutorials, because they help me create decent art for my prototypes without too much effort, and I'm not a good artist. ",,Yes,
hobbyist,professional,personal projects,,,Game feel;Visual effects;Platforming;Level design;Code structure;Project organization;Maths for game programming,,,,Maybe,
hobbyist,professional,personal projects,"Getting the basics of an adventure game, a foundation for my own projects.","The big picture, how to best organize and architect things.",Code structure;Audio;Project organization;Artificial intelligence;Maths for game programming,"I remember I found the beginning of MAKE PROFESSIONAL 2D GAMES WITH GODOT a bit confusing, but I was a total beginner at the time. I have yet to watch the new version of chapter 1.",I like when a tutorial explains the big picture before it dives into the details. An example would be Code a Simple Puzzle Game in Godot: Box and Switch tutorial,,Yes,Thank you!
hobbyist,professional,foundations,Game design fundamentals and Godot best practices,,Game feel;Level design;Code structure;Project organization;Maths for game programming,,Personally I think that the quality of GDQuest tutorials is very-very good and constantly improving.,,Yes,
hobbyist,small programs,foundations,"Basic competency with Godot, signals hopefully especially",2D Sonic-style Physics,Game feel;Visual effects;Platforming;Level design;Code structure;Audio;Project organization;Team work;Artificial intelligence;Maths for game programming,,,,Yes,
hobbyist,small programs,personal projects,How to organize projects in godot,My perfectionism,Visual effects;Combat;Project organization,.,.,"More advanced tutorials, about new topics",Maybe,
hobbyist,foundations,personal projects,Advanced 2d Programming ,Structuring the Game and Programming itself,Game feel;Visual effects;Code structure;Project organization;Maths for game programming,,,,Yes,
hobbyist,small programs,foundations,"How to plan for an extensible project from the start, and code in a robust way","I tend to be bogged down by poorly architectured basis, and I see no way to extend it to add a new idea on top.",Game feel;Level design;Code structure;Project organization,"Nothing that I did not like at all, you produce overall good quality content. Some are a bit lower, for instance the Model with CSG in Godot 3.1 - though interesting, it felt not precise enough on how to use it effectively.","I loved the Visual Shader Editor (Dissolve Shader), mostly because it's all new to me, and the result is very slick.",Highlight systematically the proper (or a proper) way to use the technique that will also scale in the future - not just for a one-off experiment,Yes,"I'm looking forward to the 3d course ;) But I expect to learn a lot also from the 2d one, based on your content so far: so Keep up the good work!"
hobbyist,small programs,never used,"To know at best this new (for me) game development environment.
Moreover, I'd like to share this experience with my children","I'm a programmer (C++, Python) and I'd like to use the right function instead of write it from scratch because I unknown of its existence.",Visual effects;Level design;Audio;Project organization;Team work,,,CC (subtitle),Maybe,
student,completed games,finished game,Platform/Adventure specific code and tricks for better performance and easier content creation,I specifically have struggled a lot with loading resources such as sprites outside the pck file once the game is exported (useful to enable modding for example).,Game feel;Visual effects;Level design;Code structure;Combat;Project organization;Artificial intelligence;Modding,,"The whole OpenRPG series, because you can see a whole project form start to finish and learn specific tricks.","Series such as OpenRPG are extremely useful, doing similar series for different types of games could be extremely useful.",Maybe,
hobbyist,small programs,personal projects,"Best practices, how to architect game code",Finishing,Game feel;Level design;Code structure;Audio,,"TBF I haven’t watched a lot of your stuff, so it’s hard to pick the best. I like that you have this huge library where I can get like a primer for specific system when I need it. Maybe watch some of this youtubers videos, because I really like his tutorial style: https://www.youtube.com/user/Miziziziz",,Maybe,Thank you for the work your doing for the Godot community :)
student,small programs,personal projects,"I expect to further solidify my mental model of the interplay between the different parts of the engine, such as nodetrees, rendering, input handling etc.",how to structure my code and classes/nodes that it makes sense and doesn't hinder me in the long run,Game feel;Visual effects;Code structure;Combat;Project organization;Artificial intelligence,"up until now, each one has been good <3","i especially liked the videos where nathan gave a bit of personality to the channel, that helps me socialize and familiarize with the channel :)","Sometimes there are moments where i think ""okay i didnt get that part"" or ""why is that the way it is"", which is unfortunate because there is no way for you to know prior to that, which moment that will be. so that's highly situational and also an individual problem. my best advice would probably be that you try to look through the script for parts where one could think ""okay that could need some background explanation why that is the way it is"" and then refer to a different video or sth. hope this helps ",Yes,
hobbyist,professional,never used,To understand how to create 2D games. Detail Godot understanding.,"My biggest problem is how to structure the game, how to define different parts od the game.",Visual effects;Platforming;Level design;Code structure;Audio;Combat;Project organization;Artificial intelligence;Maths for game programming,,,,Yes,
hobbyist,small programs,foundations,"How to create all of the common elements of a typical 2D Platformer. Since this is quite a big genre, I would love to see you cover all different cases and ways to implement certain mechanics, rather than choosing one way and making a ""complete"" game. For example, should enemies damage the player on touch (like Mario) or only when they perform an attack? (like Dead Cells. Not sure if you've heard of this game before) I would like to see you implement both versions (and any other common versions that I can't even think of!). The reason for this is because I think the course will be more useful for a larger number of people and I think showing the starting point for lots of different things is more helpful than going into very very advanced stuff on just one thing. Because the hard part is usually knowing where to start. Once you know where to start, It's a lot easier to do your own research on top of that (and also it's easier to know what to search in google to find the right answers, or when asking for help it's easier to ask a more specific question). On top of that, I just really like seeing lots and lots of different ways to implement the same thing and how to do it. It's not just about the amount of knowledge that I get from it. It also gives me lots of different ways of thinking about other problems in other areas of the game","0) In general, I have a good basic understanding of coding, but I don't know many design patterns. I really liked how you taught the state machine pattern, which was like a game changer for me (literally!). 

1) Deciding how to structure my code. For example, if my player can attack, should attack be a state inside the state machine? But what if he can walk (and jump) while attacking? 

2) Wrapping my head around different ways to make code re-usable. For example, I'm creating bullet projectiles, but I am planning to create a LOT of different types of bullets, bullet patterns, etc. So my first solution to this was to create a bullet.tscn with a bunch of nodes and a bullet.gd script. Then I created a bullet_info.gd script with the class_name Bullet_info that was simply a container for a bunch of information like movespeed, damage, whether it explodes on collision, sprite, etc. And then for each new bullet I would just create a new resource file (of the Bullet_info type) and change the parameter, pass that resource into the bullet.gd file which would implement the bullet based on those parameters. But the problem quickly became more and more tricky. Some bullets move in a wave motion. Some have angular velocity. Some have both. Some would have phases where they have such and such properties at first, but then when they collide they turn into a completely different bullet. After a while, I found that the Bullet_info variable list got veeeery long and most bullets would only use half of the variables. For example, a simple, straight-moving bullet would simply move straight, but it would unnecessarily be storing values like: angular_velocity = 0, wave_motion = false, etc etc. So the other Idea I had was to simply use the bullet.tscn and create copies of it and edit the whole scene for each new bullet type. But I haven't gone into that yet and I'm not sure how it will turn out. 

3) instancing. I can't wrap my head around instancing. When we instance something we need to make it a child of something. But it doesn't seem natural to create a bullet from the player and make the bullet a child of the level scene. But if we make it a child of the player, then the position of the bullet becomes relative to the player (which is what happened when i tried to do it. Also, I can't wrap my head around the difference between ""bullet = new ______"" vs ""bullet = ______.instance()""

4. I have trouble coming up with a scope for my game. I'm currently working on my first game ever and ideally I want to make a very small game. As long as it is a fully complete (albeit short) and playable game. However I keep adding more features and i procrastinate on working on some features because I try to make the code as re-usable and duplicatable as possible, but that just makes every little tiny feature become very complicated and my progress slows down a lot. Not sure if this is within the scope of this course, but just thought I'd mention it.

5. Anything to make the game more visually awesome without the need to get better art. Art is one thing, but I'm more comfortable with code. I love particle effects because it allows me to make certain things look so much better without getting that much better at art or drawing. I would love to learn more about similar things. For example, shaders.",Game feel;Visual effects;Level design;Code structure;Combat;Project organization,Can't find such an example,"https://www.youtube.com/watch?v=7PhGpMZfEHU
This one was really cool because it taught not just how to implement a specific thing (adding stats to characters) but a general method of doing things in a re-usable way (using resources and loading them), similar to learning a new design pattern. I think learning new design patterns or workflows or other high level things like that are a lot more rewarding and interesting to learn because you can use it eveywhere in your code and it helps beginners like me become better coders, not just learn how to implement specific things in specific scenarios.",,Maybe,"Regarding the previous question about assignments: I would use assignments if I'm completely new and don't have my own project to work on. But currently I'm working on my first game, so I would use what I learn directly in my own project instead.

Also I recently finished playing Hollow Knight and it has become my absolute most favourite game of all time. I would love to see anything and everything that could help me make a game like hollow knight :) Also you should play it if you haven't already played it."
student,professional,foundations,How to use the functionality godot offer,"Graphics/Animation (Shader, illumination, animation of object) ",Visual effects;Code structure;Maths for game programming,"I don't really have a tutorial that I don't like, I found some tutorials parts boring since it go slowly to teach basic to everyone, but it is because I already have a developer background. (don't change that, I think it is important to stay everyone oriented) ","It's a bit old, but the custom camera series, I like the fact that the code was improved (refactoring) and the feature was implemented by step while showing another possibility.
I kinda permit to show more knowledge, I like the tutorials that learn me something but also the thing around or other possibility offered. ","From my point, I don't really need anything more, I succeed at learning with what you already offer",Yes,You all are doing a great job! 
hobbyist,professional,personal projects,"Things that go above the basic tutorials you can find on Youtube.
Skip the very basics like setting up a character controller.
What is special about Godot when it comes to 2D.
How can you easily achieve special affects.","Planning and building a more complex level.
The planning phase should lead me to program it in a straight forward
way using godot.",Game feel;Platforming;Level design;Project organization,"It's hard to find anything that I absolutely don't like.
Some things are just irrelevant for me like details about Unix-Shells or Editors I do not use.
On the other hand, it's just that, what I like about the channel. It covers topics which are relevant for a lot of people and topics which are only relevant for a very small group. This makes it different an more likable compared to much bigger channels which try to attract lots of viewers in very short time but only produce for the mass of viewers.","""New Tileset Editor in Godot 3.1: Preview and Tutorial"" - It teaches a powerful new feature of Godot in very short time. This video was my initial reason to switch from Unity to Godot, as it demonstrated one of the key benefits of Godot: How to do the same 2D things with Godot in a better way and in less time than in Unity.",,Yes,
hobbyist,professional,personal projects,How to effectively use some of the nodes. Find the correct node for the correct use case.,Not programm something that some specific node can already do (probably better than what I can code),Visual effects;Combat;Maths for game programming,"None. All are very well made, but some do not apply to me.",The ones that explain the usage of the nodes in depth. ,"Know the nodes. The documentation gets better and better, but soemtimes it is still not easy to find the best node for a specific purpose. So explaining the nodes and what can be done with them would be really appreciated",Yes,Kepp up the good work. And thanks for all the awesome videos so far.
